YEAR,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2021,ARI,TEN,MIN,JAX,LAR,SF,CLE,HOU,GB,SF,CAR,SEA,BYE,CHI,LAR,DET,IND,DAL,SEA
2021,ATL,PHI,TB,NYG,WSH,NYJ,BYE,MIA,CAR,NO,DAL,NE,JAX,TB,CAR,SF,DET,BUF,NO
2021,BAL,LV,KC,DET,DEN,IND,LAC,CIN,BYE,MIN,MIA,CHI,CLE,PIT,CLE,GB,CIN,LAR,PIT
2021,BUF,PIT,MIA,WSH,HOU,KC,TEN,BYE,MIA,JAX,NYJ,IND,NO,NE,TB,CAR,NE,ATL,NYJ
2021,CAR,NYJ,NO,HOU,DAL,PHI,MIN,NYG,ATL,NE,ARI,WSH,MIA,BYE,ATL,BUF,TB,NO,TB
2021,CHI,LAR,CIN,CLE,DET,LV,GB,TB,SF,PIT,BYE,BAL,DET,ARI,GB,MIN,SEA,NYG,MIN
2021,CIN,MIN,CHI,PIT,JAX,GB,DET,BAL,NYJ,CLE,BYE,LV,PIT,LAC,SF,DEN,BAL,KC,CLE
2021,CLE,KC,HOU,CHI,MIN,LAC,ARI,DEN,PIT,CIN,NE,DET,BAL,BYE,BAL,LV,GB,PIT,CIN
2021,DAL,TB,LAC,PHI,CAR,NYG,NE,BYE,MIN,DEN,ATL,KC,LV,NO,WSH,NYG,WSH,ARI,PHI
2021,DEN,NYG,JAX,NYJ,BAL,PIT,LV,CLE,WSH,DAL,PHI,BYE,LAC,KC,DET,CIN,LV,LAC,KC
2021,DET,SF,GB,BAL,CHI,MIN,CIN,LAR,PHI,BYE,PIT,CLE,CHI,MIN,DEN,ARI,ATL,SEA,GB
2021,GB,NO,DET,SF,PIT,CIN,CHI,WSH,ARI,KC,SEA,MIN,LAR,BYE,CHI,BAL,CLE,MIN,DET
2021,HOU,JAX,CLE,CAR,BUF,NE,IND,ARI,LAR,MIA,BYE,TEN,NYJ,IND,SEA,JAX,LAC,SF,TEN
2021,IND,SEA,LAR,TEN,MIA,BAL,HOU,SF,TEN,NYJ,JAX,BUF,TB,HOU,BYE,NE,ARI,LV,JAX
2021,JAX,HOU,DEN,ARI,CIN,TEN,MIA,BYE,SEA,BUF,IND,SF,ATL,LAR,TEN,HOU,NYJ,NE,IND
2021,KC,CLE,BAL,LAC,PHI,BUF,WSH,TEN,NYG,GB,LV,DAL,BYE,DEN,LV,LAC,PIT,CIN,DEN
2021,LV,BAL,PIT,MIA,LAC,CHI,DEN,PHI,BYE,NYG,KC,CIN,DAL,WSH,KC,CLE,DEN,IND,LAC
2021,LAR,CHI,IND,TB,ARI,SEA,NYG,DET,HOU,TEN,SF,BYE,GB,JAX,ARI,SEA,MIN,BAL,SF
2021,LAC,WSH,DAL,KC,LV,CLE,BAL,BYE,NE,PHI,MIN,PIT,DEN,CIN,NYG,KC,HOU,DEN,LV
2021,MIA,NE,BUF,LV,IND,TB,JAX,ATL,BUF,HOU,BAL,NYJ,CAR,NYG,BYE,NYJ,NO,TEN,NE
2021,MIN,CIN,ARI,SEA,CLE,DET,CAR,BYE,DAL,BAL,LAC,GB,SF,DET,PIT,CHI,LAR,GB,CHI
2021,NE,MIA,NYJ,NO,TB,HOU,DAL,NYJ,LAC,CAR,CLE,ATL,TEN,BUF,BYE,IND,BUF,JAX,MIA
