Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG,POS
Isiah Pacheco,KC,48%,51%,42%,60%,59%,63%,53%,54%,,,,,,,,,,,292,54%,rb
Clyde Edwards-Helaire,KC,22%,16%,30%,9%,14%,13%,10%,3%,,,,,,,,,,,81,15%,rb
Jerick McKinnon,KC,31%,33%,29%,31%,27%,27%,37%,41%,,,,,,,,,,,173,32%,rb
Jahmyr Gibbs,DET,27%,48%,60%,37%,0%,0%,87%,70%,,,,,,,,,,,246,56%,rb
David Montgomery,DET,79%,45%,0%,71%,75%,26%,0%,0%,,,,,,,,,,,201,59%,rb
Gus Edwards,BAL,23%,43%,44%,69%,43%,62%,50%,52%,,,,,,,,,,,257,48%,rb
J.K. Dobbins,BAL,47%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,30,47%,rb
Justice Hill,BAL,30%,57%,0%,12%,56%,38%,50%,48%,,,,,,,,,,,196,42%,rb
Dameon Pierce,HOU,47%,45%,54%,59%,59%,33%,bye,43%,,,,,,,,,,,226,48%,rb
Devin Singletary,HOU,21%,36%,39%,35%,29%,54%,bye,40%,,,,,,,,,,,167,36%,rb
Mike Boone,HOU,32%,0%,7%,6%,12%,16%,bye,17%,,,,,,,,,,,60,16%,rb
Tyler Allgeier,ATL,56%,44%,30%,26%,44%,28%,51%,22%,,,,,,,,,,,205,37%,rb
Bijan Robinson,ATL,63%,72%,81%,76%,61%,77%,17%,74%,,,,,,,,,,,362,66%,rb
Keith Smith,ATL,19%,21%,15%,29%,29%,19%,32%,6%,,,,,,,,,,,117,21%,rb
Chuba Hubbard,CAR,36%,37%,34%,54%,48%,77%,bye,67%,,,,,,,,,,,248,50%,rb
Miles Sanders,CAR,57%,62%,65%,43%,46%,0%,bye,18%,,,,,,,,,,,208,49%,rb
Jerome Ford,CLE,41%,49%,56%,62%,bye,50%,43%,33%,,,,,,,,,,,252,48%,rb
Nick Chubb,CLE,49%,21%,0%,0%,bye,0%,0%,0%,,,,,,,,,,,54,34%,rb
Trayveon Williams,CIN,29%,17%,18%,11%,15%,17%,bye,17%,,,,,,,,,,,78,18%,rb
Chris Evans,CIN,13%,0%,0%,0%,4%,4%,bye,6%,,,,,,,,,,,16,6%,rb
Joe Mixon,CIN,63%,78%,75%,79%,77%,70%,bye,75%,,,,,,,,,,,330,74%,rb
Najee Harris,PIT,52%,57%,50%,49%,56%,bye,58%,52%,,,,,,,,,,,230,53%,rb
Jaylen Warren,PIT,40%,43%,45%,49%,48%,bye,46%,49%,,,,,,,,,,,197,46%,rb
Anthony McFarland Jr.,PIT,8%,0%,0%,0%,0%,bye,0%,0%,,,,,,,,,,,5,8%,rb
Christian McCaffrey,SF,85%,100%,61%,85%,73%,58%,100%,97%,,,,,,,,,,,411,81%,rb
Elijah Mitchell,SF,15%,0%,34%,0%,0%,11%,8%,12%,,,,,,,,,,,56,17%,rb
Antonio Gibson,WAS,35%,48%,61%,38%,54%,39%,38%,51%,,,,,,,,,,,244,45%,rb
Chris Rodriguez Jr.,WAS,4%,3%,2%,0%,0%,12%,13%,0%,,,,,,,,,,,21,7%,rb
Brian Robinson Jr.,WAS,61%,52%,37%,55%,36%,53%,49%,49%,,,,,,,,,,,265,49%,rb
James Conner,ARI,84%,72%,64%,62%,21%,0%,0%,0%,,,,,,,,,,,194,61%,rb
Keaontay Ingram,ARI,11%,15%,15%,0%,0%,37%,0%,38%,,,,,,,,,,,83,24%,rb
Jamaal Williams,NO,75%,23%,0%,0%,0%,0%,22%,23%,,,,,,,,,,,102,34%,rb
Tony Jones Jr.,NO,11%,52%,49%,17%,0%,0%,0%,0%,,,,,,,,,,,88,33%,rb
Adam Prentice,NO,17%,23%,18%,14%,11%,0%,0%,0%,,,,,,,,,,,57,17%,rb
Tyjae Spears,TEN,54%,37%,56%,53%,52%,56%,bye,44%,,,,,,,,,,,212,50%,rb
Derrick Henry,TEN,48%,71%,38%,59%,62%,53%,bye,65%,,,,,,,,,,,243,57%,rb
Alexander Mattison,MIN,73%,76%,80%,69%,51%,79%,53%,61%,,,,,,,,,,,353,67%,rb
Ty Chandler,MIN,17%,12%,15%,0%,0%,0%,4%,1%,,,,,,,,,,,34,10%,rb
C.J. Ham,MIN,34%,22%,10%,10%,25%,28%,16%,26%,,,,,,,,,,,112,21%,rb
Sean Tucker,TB,15%,24%,9%,0%,bye,0%,0%,0%,,,,,,,,,,,31,17%,rb
Rachaad White,TB,79%,72%,91%,70%,bye,79%,75%,82%,,,,,,,,,,,353,78%,rb
Chase Edmonds,TB,12%,4%,0%,0%,bye,0%,0%,12%,,,,,,,,,,,19,9%,rb
Deon Jackson,Multi,71%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,51,71%,rb
Jake Funk,IND,18%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,13,18%,rb
Evan Hull,IND,11%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,8,11%,rb
Travis Etienne Jr.,JAC,80%,72%,71%,85%,83%,80%,88%,89%,,,,,,,,,,,448,81%,rb
D'Ernest Johnson,JAC,1%,9%,16%,2%,1%,3%,4%,4%,,,,,,,,,,,28,5%,rb
Tank Bigsby,JAC,21%,19%,12%,12%,15%,27%,14%,8%,,,,,,,,,,,89,16%,rb
Austin Ekeler,LAC,51%,0%,0%,0%,bye,68%,63%,67%,,,,,,,,,,,177,62%,rb
Joshua Kelley,LAC,48%,79%,73%,60%,bye,27%,37%,22%,,,,,,,,,,,238,49%,rb
Salvon Ahmed,MIA,28%,19%,0%,6%,0%,36%,37%,25%,,,,,,,,,,,96,25%,rb
Raheem Mostert,MIA,73%,73%,51%,43%,59%,61%,53%,56%,,,,,,,,,,,302,59%,rb
Alec Ingold,MIA,45%,60%,34%,31%,35%,42%,24%,32%,,,,,,,,,,,197,38%,rb
Kenneth Walker III,SEA,63%,61%,51%,71%,bye,76%,80%,41%,,,,,,,,,,,281,63%,rb
DeeJay Dallas,SEA,22%,13%,13%,7%,bye,5%,23%,0%,,,,,,,,,,,52,13%,rb
