Player Isiah Pacheco,Team KC,1 48%,2 51%,3 42%,4 60%,5 59%,6 Unnamed: 7_level_1,7 Unnamed: 8_level_1,8 Unnamed: 9_level_1,9 Unnamed: 10_level_1,10 Unnamed: 11_level_1,11 Unnamed: 12_level_1,12 Unnamed: 13_level_1,13 Unnamed: 14_level_1,14 Unnamed: 15_level_1,15 Unnamed: 16_level_1,16 Unnamed: 17_level_1,17 Unnamed: 18_level_1,18 Unnamed: 19_level_1,TTL 178,AVG 52%,POS POS,Player Kadarius Toney,1 25%,2 28%,3 3%,4 24%,5 38%,TTL 79,AVG 23%,Player Noah Gray,1 88%,2 61%,3 61%,4 49%,5 65%,TTL 222,AVG 64%
Clyde Edwards-Helaire,KC,22%,16%,30%,9%,14%,,,,,,,,,,,,,,63.0,18%,rb,,,,,,,,,,,,,,,,
Jerick McKinnon,KC,31%,33%,29%,31%,27%,,,,,,,,,,,,,,104.0,30%,rb,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,27%,48%,60%,37%,0%,,,,,,,,,,,,,,121.0,43%,rb,,,,,,,,,,,,,,,,
David Montgomery,DET,79%,45%,0%,71%,75%,,,,,,,,,,,,,,183.0,68%,rb,,,,,,,,,,,,,,,,
Gus Edwards,BAL,23%,43%,44%,69%,43%,,,,,,,,,,,,,,149.0,44%,rb,,,,,,,,,,,,,,,,
J.K. Dobbins,BAL,47%,0%,0%,0%,0%,,,,,,,,,,,,,,30.0,47%,rb,,,,,,,,,,,,,,,,
Justice Hill,BAL,30%,57%,0%,12%,56%,,,,,,,,,,,,,,108.0,40%,rb,,,,,,,,,,,,,,,,
Dameon Pierce,HOU,47%,45%,54%,59%,59%,,,,,,,,,,,,,,180.0,52%,rb,,,,,,,,,,,,,,,,
Devin Singletary,HOU,21%,36%,39%,35%,29%,,,,,,,,,,,,,,110.0,32%,rb,,,,,,,,,,,,,,,,
Mike Boone,HOU,32%,0%,7%,6%,12%,,,,,,,,,,,,,,40.0,15%,rb,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,56%,44%,30%,26%,44%,,,,,,,,,,,,,,134.0,40%,rb,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,63%,72%,81%,76%,61%,,,,,,,,,,,,,,237.0,71%,rb,,,,,,,,,,,,,,,,
Keith Smith,ATL,19%,21%,15%,29%,29%,,,,,,,,,,,,,,76.0,23%,rb,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,36%,37%,34%,54%,48%,,,,,,,,,,,,,,150.0,42%,rb,,,,,,,,,,,,,,,,
Miles Sanders,CAR,57%,62%,65%,43%,46%,,,,,,,,,,,,,,196.0,55%,rb,,,,,,,,,,,,,,,,
Jerome Ford,CLE,41%,49%,56%,62%,bye,,,,,,,,,,,,,,156.0,52%,rb,,,,,,,,,,,,,,,,
Nick Chubb,CLE,49%,21%,0%,0%,bye,,,,,,,,,,,,,,54.0,34%,rb,,,,,,,,,,,,,,,,
Trayveon Williams,CIN,29%,17%,18%,11%,15%,,,,,,,,,,,,,,58.0,18%,rb,,,,,,,,,,,,,,,,
Chris Evans,CIN,13%,0%,0%,0%,4%,,,,,,,,,,,,,,10.0,7%,rb,,,,,,,,,,,,,,,,
Joe Mixon,CIN,63%,78%,75%,79%,77%,,,,,,,,,,,,,,245.0,75%,rb,,,,,,,,,,,,,,,,
Najee Harris,PIT,52%,57%,50%,49%,56%,,,,,,,,,,,,,,161.0,53%,rb,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,40%,43%,45%,49%,48%,,,,,,,,,,,,,,137.0,45%,rb,,,,,,,,,,,,,,,,
